time	V(n009)
3.400598199770836e-004	-1.272089e+000
4.128667148380834e-004	-2.206266e+000
4.896602741764830e-004	-3.289646e+000
5.792525771118240e-004	-4.450540e+000
6.693594551726831e-004	-5.323059e+000
7.670157051726831e-004	-5.901316e+000
8.646719551726830e-004	-6.267388e+000
9.623282051726830e-004	-6.680763e+000
1.059984455172683e-003	-7.351317e+000
1.157640705172683e-003	-8.313643e+000
1.255296955172683e-003	-9.446507e+000
1.267503986422683e-003	-9.581046e+000
1.291918048922683e-003	-9.799015e+000
1.297361432859824e-003	-9.825683e+000
1.308248200734105e-003	-9.842495e+000
1.330021736482668e-003	-9.861522e+000
1.373568807979794e-003	-9.882125e+000
1.434233552210118e-003	-9.897695e+000
1.524707331058320e-003	-9.910274e+000
1.619981207003016e-003	-9.918167e+000
1.703279923872959e-003	-9.924534e+000
1.791127992461139e-003	-9.933297e+000
1.888784242461139e-003	-9.945155e+000
1.986440492461140e-003	-9.957618e+000
2.084096742461140e-003	-9.968710e+000
2.181752992461140e-003	-9.977099e+000
2.279409242461140e-003	-9.982724e+000
2.377065492461140e-003	-9.986693e+000
2.474721742461140e-003	-9.990623e+000
2.572377992461140e-003	-9.995683e+000
2.670034242461140e-003	-1.000200e+001
2.767690492461140e-003	-1.000876e+001
2.865346742461140e-003	-1.001478e+001
2.963002992461140e-003	-1.001925e+001
3.060659242461140e-003	-1.002214e+001
3.158315492461141e-003	-1.002416e+001
3.255971742461141e-003	-1.002624e+001
3.353627992461141e-003	-1.002895e+001
3.451284242461141e-003	-1.003227e+001
3.548940492461141e-003	-1.003562e+001
3.646596742461141e-003	-1.003832e+001
3.744252992461141e-003	-1.003996e+001
3.841909242461141e-003	-1.004064e+001
3.939565492461141e-003	-1.004084e+001
4.037221742461141e-003	-1.004103e+001
4.134877992461141e-003	-1.004142e+001
4.232534242461140e-003	-1.004188e+001
4.330190492461140e-003	-1.004214e+001
4.427846742461140e-003	-1.004206e+001
4.525502992461139e-003	-1.004177e+001
4.623159242461139e-003	-1.004142e+001
4.720815492461138e-003	-1.004106e+001
4.818471742461138e-003	-1.004071e+001
5.111440492461137e-003	-1.003965e+001
5.404409242461136e-003	-1.003860e+001
5.697377992461135e-003	-1.003755e+001
5.990346742461134e-003	-1.003652e+001
6.283315492461133e-003	-1.003549e+001
6.576284242461132e-003	-1.003447e+001
6.869252992461131e-003	-1.003345e+001
7.162221742461130e-003	-1.003244e+001
7.455190492461129e-003	-1.003144e+001
7.748159242461128e-003	-1.003045e+001
8.041127992461128e-003	-1.002946e+001
8.334096742461127e-003	-1.002848e+001
8.627065492461125e-003	-1.002750e+001
8.920034242461124e-003	-1.002654e+001
9.213002992461123e-003	-1.002557e+001
9.505971742461122e-003	-1.002462e+001
9.798940492461121e-003	-1.002367e+001
1.009190924246112e-002	-1.002273e+001
1.038487799246112e-002	-1.002179e+001
1.067784674246112e-002	-1.002086e+001
1.097081549246112e-002	-1.001994e+001
1.106847174246112e-002	-1.001963e+001
1.116612799246112e-002	-1.001933e+001
1.126378424246112e-002	-1.001910e+001
1.136144049246112e-002	-1.001931e+001
1.145909674246112e-002	-1.002066e+001
1.155675299246112e-002	-1.002369e+001
1.165440924246112e-002	-1.002818e+001
1.175206549246111e-002	-1.003303e+001
1.184972174246111e-002	-1.003687e+001
1.194737799246111e-002	-1.003896e+001
1.204503424246111e-002	-1.003954e+001
1.214269049246111e-002	-1.003951e+001
1.224034674246111e-002	-1.003971e+001
1.233800299246111e-002	-1.004044e+001
1.243565924246111e-002	-1.004152e+001
1.253331549246111e-002	-1.004247e+001
1.263097174246111e-002	-1.004291e+001
1.272862799246111e-002	-1.004283e+001
1.282628424246111e-002	-1.004252e+001
1.292394049246111e-002	-1.004216e+001
1.302159674246111e-002	-1.004180e+001
1.311925299246111e-002	-1.004145e+001
1.321690924246111e-002	-1.004109e+001
1.350987799246111e-002	-1.004003e+001
1.380284674246111e-002	-1.003898e+001
1.409581549246111e-002	-1.003793e+001
1.438878424246111e-002	-1.003689e+001
1.458409674246110e-002	-1.003620e+001
1.477940924246110e-002	-1.003552e+001
1.497472174246110e-002	-1.003484e+001
1.507237799246110e-002	-1.003450e+001
1.517003424246110e-002	-1.003416e+001
1.526769049246110e-002	-1.003382e+001
1.536534674246110e-002	-1.003348e+001
1.546300299246110e-002	-1.003314e+001
1.556065924246110e-002	-1.003281e+001
1.565831549246110e-002	-1.003247e+001
1.575597174246110e-002	-1.003214e+001
1.585362799246111e-002	-1.003180e+001
1.595128424246111e-002	-1.003147e+001
1.604894049246111e-002	-1.003114e+001
1.614659674246111e-002	-1.003081e+001
1.624425299246111e-002	-1.003048e+001
1.634190924246111e-002	-1.003015e+001
1.643956549246111e-002	-1.002982e+001
1.653722174246112e-002	-1.002949e+001
1.663487799246112e-002	-1.002916e+001
1.673253424246112e-002	-1.002883e+001
1.683019049246112e-002	-1.002851e+001
1.692784674246112e-002	-1.002818e+001
1.702550299246112e-002	-1.002785e+001
1.712315924246112e-002	-1.002753e+001
1.722081549246112e-002	-1.002721e+001
1.731847174246113e-002	-1.002688e+001
1.741612799246113e-002	-1.002656e+001
1.751378424246113e-002	-1.002624e+001
1.761144049246113e-002	-1.002592e+001
1.770909674246113e-002	-1.002560e+001
1.780675299246113e-002	-1.002528e+001
1.790440924246113e-002	-1.002496e+001
1.800206549246114e-002	-1.002464e+001
1.809972174246114e-002	-1.002433e+001
1.819737799246114e-002	-1.002401e+001
1.829503424246114e-002	-1.002370e+001
1.839269049246114e-002	-1.002338e+001
1.858800299246114e-002	-1.002275e+001
1.878331549246115e-002	-1.002213e+001
1.897862799246115e-002	-1.002151e+001
1.927159674246115e-002	-1.002058e+001
1.936925299246116e-002	-1.002027e+001
1.946690924246116e-002	-1.001996e+001
1.956456549246116e-002	-1.001966e+001
1.966222174246116e-002	-1.001953e+001
1.975987799246116e-002	-1.002014e+001
1.985753424246116e-002	-1.002229e+001
1.995519049246116e-002	-1.002623e+001
2.005284674246117e-002	-1.003115e+001
2.015050299246117e-002	-1.003564e+001
2.024815924246117e-002	-1.003854e+001
2.034581549246117e-002	-1.003964e+001
2.044347174246117e-002	-1.003974e+001
2.054112799246117e-002	-1.003981e+001
2.063878424246117e-002	-1.004032e+001
2.073644049246117e-002	-1.004119e+001
2.083409674246118e-002	-1.004208e+001
2.093175299246118e-002	-1.004261e+001
2.102940924246118e-002	-1.004264e+001
2.112706549246118e-002	-1.004237e+001
2.122472174246118e-002	-1.004201e+001
2.132237799246118e-002	-1.004165e+001
2.142003424246118e-002	-1.004130e+001
2.151769049246119e-002	-1.004094e+001
2.181065924246119e-002	-1.003988e+001
2.210362799246119e-002	-1.003883e+001
2.239659674246120e-002	-1.003779e+001
2.268956549246120e-002	-1.003675e+001
2.298253424246121e-002	-1.003572e+001
2.327550299246121e-002	-1.003469e+001
2.356847174246122e-002	-1.003368e+001
2.386144049246122e-002	-1.003267e+001
2.415440924246122e-002	-1.003166e+001
2.444737799246123e-002	-1.003067e+001
2.474034674246123e-002	-1.002968e+001
2.503331549246124e-002	-1.002870e+001
2.532628424246124e-002	-1.002772e+001
2.561925299246124e-002	-1.002675e+001
2.591222174246125e-002	-1.002579e+001
2.620519049246125e-002	-1.002483e+001
2.649815924246126e-002	-1.002388e+001
2.679112799246126e-002	-1.002294e+001
2.708409674246127e-002	-1.002200e+001
2.737706549246127e-002	-1.002107e+001
2.767003424246127e-002	-1.002014e+001
2.776769049246127e-002	-1.001984e+001
2.786534674246128e-002	-1.001953e+001
2.796300299246128e-002	-1.001932e+001
2.806065924246128e-002	-1.001964e+001
2.815831549246128e-002	-1.002130e+001
2.825597174246128e-002	-1.002480e+001
2.835362799246128e-002	-1.002965e+001
2.845128424246128e-002	-1.003447e+001
2.854894049246129e-002	-1.003793e+001
2.864659674246129e-002	-1.003951e+001
2.874425299246129e-002	-1.003980e+001
2.884190924246129e-002	-1.003982e+001
2.893956549246129e-002	-1.004016e+001
2.903722174246129e-002	-1.004089e+001
2.913487799246129e-002	-1.004180e+001
2.923253424246130e-002	-1.004249e+001
2.933019049246130e-002	-1.004270e+001
2.942784674246130e-002	-1.004251e+001
2.952550299246130e-002	-1.004218e+001
2.962315924246130e-002	-1.004182e+001
2.972081549246130e-002	-1.004146e+001
2.981847174246130e-002	-1.004111e+001
2.991612799246131e-002	-1.004075e+001
3.020909674246131e-002	-1.003969e+001
3.050206549246131e-002	-1.003864e+001
3.079503424246132e-002	-1.003760e+001
3.108800299246132e-002	-1.003656e+001
3.128331549246132e-002	-1.003588e+001
3.147862799246132e-002	-1.003519e+001
3.157628424246133e-002	-1.003485e+001
3.167394049246133e-002	-1.003451e+001
3.177159674246133e-002	-1.003417e+001
3.186925299246133e-002	-1.003383e+001
3.196690924246133e-002	-1.003350e+001
3.206456549246133e-002	-1.003316e+001
3.216222174246133e-002	-1.003282e+001
3.225987799246134e-002	-1.003249e+001
3.235753424246134e-002	-1.003215e+001
3.245519049246134e-002	-1.003182e+001
3.255284674246134e-002	-1.003148e+001
3.265050299246134e-002	-1.003115e+001
3.274815924246134e-002	-1.003082e+001
3.284581549246134e-002	-1.003049e+001
3.294347174246134e-002	-1.003016e+001
3.304112799246135e-002	-1.002983e+001
3.313878424246135e-002	-1.002950e+001
3.323644049246135e-002	-1.002917e+001
3.333409674246135e-002	-1.002885e+001
3.343175299246135e-002	-1.002852e+001
3.352940924246135e-002	-1.002819e+001
3.362706549246135e-002	-1.002787e+001
3.372472174246136e-002	-1.002755e+001
3.382237799246136e-002	-1.002722e+001
3.392003424246136e-002	-1.002690e+001
3.401769049246136e-002	-1.002658e+001
3.411534674246136e-002	-1.002626e+001
3.421300299246136e-002	-1.002594e+001
3.431065924246136e-002	-1.002562e+001
3.440831549246137e-002	-1.002530e+001
3.450597174246137e-002	-1.002498e+001
3.460362799246137e-002	-1.002466e+001
3.470128424246137e-002	-1.002434e+001
3.479894049246137e-002	-1.002403e+001
3.489659674246137e-002	-1.002371e+001
3.499425299246137e-002	-1.002340e+001
3.509190924246138e-002	-1.002308e+001
3.528722174246138e-002	-1.002246e+001
3.548253424246138e-002	-1.002183e+001
3.567784674246138e-002	-1.002121e+001
3.597081549246139e-002	-1.002028e+001
3.606847174246139e-002	-1.001998e+001
3.616612799246139e-002	-1.001967e+001
3.626378424246139e-002	-1.001940e+001
3.636144049246139e-002	-1.001945e+001
3.645909674246139e-002	-1.002055e+001
3.655675299246140e-002	-1.002341e+001
3.665440924246140e-002	-1.002789e+001
3.675206549246140e-002	-1.003287e+001
3.684972174246140e-002	-1.003689e+001
3.694737799246140e-002	-1.003911e+001
3.704503424246140e-002	-1.003972e+001
3.714269049246140e-002	-1.003966e+001
3.724034674246141e-002	-1.003978e+001
3.733800299246141e-002	-1.004040e+001
3.743565924246141e-002	-1.004139e+001
3.753331549246141e-002	-1.004232e+001
3.763097174246141e-002	-1.004277e+001
3.772862799246141e-002	-1.004272e+001
3.782628424246141e-002	-1.004242e+001
3.792394049246142e-002	-1.004206e+001
3.802159674246142e-002	-1.004170e+001
3.811925299246142e-002	-1.004135e+001
3.821690924246142e-002	-1.004099e+001
3.850987799246142e-002	-1.003993e+001
3.880284674246143e-002	-1.003888e+001
3.909581549246143e-002	-1.003783e+001
3.938878424246144e-002	-1.003679e+001
3.968175299246144e-002	-1.003576e+001
3.997472174246144e-002	-1.003474e+001
4.026769049246145e-002	-1.003372e+001
4.056065924246145e-002	-1.003271e+001
4.085362799246146e-002	-1.003171e+001
4.114659674246146e-002	-1.003071e+001
4.143956549246147e-002	-1.002972e+001
4.163487799246147e-002	-1.002907e+001
4.192784674246147e-002	-1.002809e+001
4.222081549246148e-002	-1.002712e+001
4.251378424246148e-002	-1.002615e+001
4.280675299246149e-002	-1.002519e+001
4.309972174246149e-002	-1.002424e+001
4.339269049246149e-002	-1.002329e+001
4.368565924246150e-002	-1.002235e+001
4.397862799246150e-002	-1.002142e+001
4.427159674246151e-002	-1.002049e+001
4.436925299246151e-002	-1.002018e+001
4.446690924246151e-002	-1.001988e+001
4.456456549246151e-002	-1.001958e+001
4.466222174246151e-002	-1.001947e+001
4.475987799246151e-002	-1.002011e+001
4.485753424246151e-002	-1.002232e+001
4.495519049246152e-002	-1.002631e+001
4.505284674246152e-002	-1.003126e+001
4.515050299246152e-002	-1.003574e+001
4.524815924246152e-002	-1.003860e+001
4.534581549246152e-002	-1.003968e+001
4.544347174246152e-002	-1.003976e+001
4.554112799246152e-002	-1.003983e+001
4.563878424246153e-002	-1.004035e+001
4.573644049246153e-002	-1.004124e+001
4.583409674246153e-002	-1.004214e+001
4.593175299246153e-002	-1.004267e+001
4.602940924246153e-002	-1.004270e+001
4.612706549246153e-002	-1.004243e+001
4.622472174246153e-002	-1.004207e+001
4.632237799246153e-002	-1.004171e+001
4.642003424246154e-002	-1.004136e+001
4.651769049246154e-002	-1.004100e+001
4.681065924246154e-002	-1.003994e+001
4.710362799246155e-002	-1.003889e+001
4.739659674246155e-002	-1.003784e+001
4.768956549246155e-002	-1.003681e+001
4.788487799246156e-002	-1.003612e+001
4.808019049246156e-002	-1.003543e+001
4.827550299246156e-002	-1.003475e+001
4.837315924246156e-002	-1.003441e+001
4.847081549246157e-002	-1.003407e+001
4.856847174246157e-002	-1.003373e+001
4.866612799246157e-002	-1.003340e+001
4.876378424246157e-002	-1.003306e+001
4.886144049246157e-002	-1.003272e+001
4.895909674246157e-002	-1.003239e+001
4.905675299246157e-002	-1.003205e+001
4.915440924246158e-002	-1.003172e+001
4.925206549246158e-002	-1.003139e+001
4.934972174246158e-002	-1.003105e+001
4.944737799246158e-002	-1.003072e+001
4.954503424246158e-002	-1.003039e+001
4.964269049246158e-002	-1.003006e+001
4.974034674246158e-002	-1.002973e+001
4.983800299246158e-002	-1.002940e+001
4.993565924246159e-002	-1.002908e+001
5.003331549246159e-002	-1.002875e+001
5.013097174246159e-002	-1.002842e+001
5.022862799246159e-002	-1.002810e+001
5.032628424246159e-002	-1.002777e+001
5.042394049246159e-002	-1.002745e+001
5.052159674246159e-002	-1.002713e+001
5.061925299246160e-002	-1.002680e+001
5.071690924246160e-002	-1.002648e+001
5.081456549246160e-002	-1.002616e+001
5.091222174246160e-002	-1.002584e+001
5.100987799246160e-002	-1.002552e+001
5.110753424246160e-002	-1.002520e+001
5.120519049246160e-002	-1.002488e+001
5.130284674246161e-002	-1.002457e+001
5.140050299246161e-002	-1.002425e+001
5.149815924246161e-002	-1.002393e+001
5.159581549246161e-002	-1.002362e+001
5.169347174246161e-002	-1.002330e+001
5.188878424246161e-002	-1.002268e+001
5.208409674246162e-002	-1.002205e+001
5.227940924246162e-002	-1.002143e+001
5.257237799246162e-002	-1.002050e+001
5.276769049246163e-002	-1.001989e+001
5.286534674246163e-002	-1.001958e+001
5.296300299246163e-002	-1.001937e+001
5.306065924246163e-002	-1.001966e+001
5.315831549246163e-002	-1.002128e+001
5.325597174246163e-002	-1.002474e+001
5.335362799246163e-002	-1.002954e+001
5.345128424246164e-002	-1.003437e+001
5.354894049246164e-002	-1.003785e+001
5.364659674246164e-002	-1.003947e+001
5.374425299246164e-002	-1.003978e+001
5.384190924246164e-002	-1.003979e+001
5.393956549246164e-002	-1.004011e+001
5.403722174246164e-002	-1.004083e+001
5.413487799246165e-002	-1.004173e+001
5.423253424246165e-002	-1.004243e+001
5.433019049246165e-002	-1.004265e+001
5.442784674246165e-002	-1.004247e+001
5.452550299246165e-002	-1.004213e+001
5.462315924246165e-002	-1.004177e+001
5.472081549246165e-002	-1.004142e+001
