# time	V(n009)
1.478455228720824e-002	-9.934886e+000
1.497986478720824e-002	-9.933798e+000
1.507752103720824e-002	-9.933252e+000
1.517517728720824e-002	-9.932705e+000
1.527283353720824e-002	-9.932156e+000
1.537048978720824e-002	-9.931604e+000
1.546814603720824e-002	-9.931052e+000
1.556580228720824e-002	-9.930498e+000
1.566345853720824e-002	-9.929943e+000
1.576111478720824e-002	-9.929385e+000
1.585877103720824e-002	-9.928826e+000
1.595642728720825e-002	-9.928265e+000
1.605408353720825e-002	-9.927702e+000
1.615173978720825e-002	-9.927136e+000
1.624939603720825e-002	-9.926570e+000
1.634705228720825e-002	-9.926001e+000
1.644470853720825e-002	-9.925429e+000
1.654236478720825e-002	-9.924855e+000
1.664002103720826e-002	-9.924280e+000
1.673767728720826e-002	-9.923701e+000
1.683533353720826e-002	-9.923120e+000
1.693298978720826e-002	-9.922538e+000
1.703064603720826e-002	-9.921951e+000
1.712830228720826e-002	-9.921363e+000
1.722595853720826e-002	-9.920773e+000
1.732361478720827e-002	-9.920178e+000
1.742127103720827e-002	-9.919581e+000
1.751892728720827e-002	-9.918982e+000
1.761658353720827e-002	-9.918379e+000
1.771423978720827e-002	-9.917772e+000
1.781189603720827e-002	-9.917162e+000
1.790955228720827e-002	-9.916550e+000
1.800720853720828e-002	-9.915933e+000
1.810486478720828e-002	-9.915313e+000
1.820252103720828e-002	-9.914688e+000
1.830017728720828e-002	-9.914061e+000
1.839783353720828e-002	-9.913429e+000
1.859314603720828e-002	-9.912154e+000
1.878845853720829e-002	-9.910861e+000
1.898377103720829e-002	-9.909549e+000
1.927673978720829e-002	-9.907543e+000
1.937439603720829e-002	-9.906864e+000
1.947205228720830e-002	-9.906179e+000
1.956970853720830e-002	-9.905510e+000
1.966736478720830e-002	-9.905285e+000
1.976502103720830e-002	-9.906876e+000
1.986267728720830e-002	-9.911751e+000
1.996033353720830e-002	-9.919650e+000
2.005798978720830e-002	-9.928428e+000
2.015564603720831e-002	-9.935628e+000
2.025330228720831e-002	-9.939861e+000
2.035095853720831e-002	-9.941301e+000
2.044861478720831e-002	-9.941341e+000
2.054627103720831e-002	-9.941466e+000
2.064392728720831e-002	-9.942316e+000
2.074158353720831e-002	-9.943707e+000
2.083923978720832e-002	-9.945066e+000
2.093689603720832e-002	-9.945827e+000
2.103455228720832e-002	-9.945843e+000
2.113220853720832e-002	-9.945423e+000
2.122986478720832e-002	-9.944901e+000
2.132752103720832e-002	-9.944377e+000
2.142517728720832e-002	-9.943852e+000
2.152283353720833e-002	-9.943327e+000
2.181580228720833e-002	-9.941746e+000
2.210877103720833e-002	-9.940157e+000
2.240173978720834e-002	-9.938559e+000
2.269470853720834e-002	-9.936951e+000
2.298767728720835e-002	-9.935332e+000
2.328064603720835e-002	-9.933702e+000
2.357361478720835e-002	-9.932057e+000
2.386658353720836e-002	-9.930400e+000
2.415955228720836e-002	-9.928727e+000
2.445252103720837e-002	-9.927036e+000
2.474548978720837e-002	-9.925327e+000
2.503845853720838e-002	-9.923598e+000
2.533142728720838e-002	-9.921847e+000
2.562439603720838e-002	-9.920073e+000
2.591736478720839e-002	-9.918271e+000
2.621033353720839e-002	-9.916440e+000
2.650330228720840e-002	-9.914577e+000
2.679627103720840e-002	-9.912681e+000
2.708923978720840e-002	-9.910745e+000
2.738220853720841e-002	-9.908768e+000
2.767517728720841e-002	-9.906743e+000
2.777283353720841e-002	-9.906057e+000
2.787048978720842e-002	-9.905376e+000
2.796814603720842e-002	-9.904955e+000
2.806580228720842e-002	-9.905861e+000
2.816345853720842e-002	-9.909706e+000
2.826111478720842e-002	-9.916915e+000
2.835877103720842e-002	-9.925784e+000
2.845642728720842e-002	-9.933733e+000
2.855408353720843e-002	-9.938942e+000
2.865173978720843e-002	-9.941132e+000
2.874939603720843e-002	-9.941475e+000
2.884705228720843e-002	-9.941532e+000
2.894470853720843e-002	-9.942139e+000
2.904236478720843e-002	-9.943319e+000
2.914002103720843e-002	-9.944672e+000
2.923767728720843e-002	-9.945627e+000
2.933533353720844e-002	-9.945856e+000
2.943298978720844e-002	-9.945538e+000
2.953064603720844e-002	-9.945034e+000
2.962830228720844e-002	-9.944510e+000
2.972595853720844e-002	-9.943987e+000
2.982361478720844e-002	-9.943461e+000
2.992127103720844e-002	-9.942936e+000
3.021423978720845e-002	-9.941352e+000
3.050720853720845e-002	-9.939760e+000
3.080017728720846e-002	-9.938160e+000
3.109314603720846e-002	-9.936550e+000
3.128845853720846e-002	-9.935470e+000
3.148377103720847e-002	-9.934385e+000
3.158142728720847e-002	-9.933841e+000
3.167908353720847e-002	-9.933294e+000
3.177673978720847e-002	-9.932747e+000
3.187439603720847e-002	-9.932198e+000
3.197205228720847e-002	-9.931647e+000
3.206970853720847e-002	-9.931095e+000
3.216736478720848e-002	-9.930542e+000
3.226502103720848e-002	-9.929986e+000
3.236267728720848e-002	-9.929429e+000
3.246033353720848e-002	-9.928869e+000
3.255798978720848e-002	-9.928308e+000
3.265564603720848e-002	-9.927746e+000
3.275330228720848e-002	-9.927181e+000
3.285095853720849e-002	-9.926614e+000
3.294861478720849e-002	-9.926044e+000
3.304627103720849e-002	-9.925473e+000
3.314392728720849e-002	-9.924900e+000
3.324158353720849e-002	-9.924325e+000
3.333923978720849e-002	-9.923747e+000
3.343689603720849e-002	-9.923166e+000
3.353455228720850e-002	-9.922583e+000
3.363220853720850e-002	-9.921997e+000
3.372986478720850e-002	-9.921410e+000
3.382752103720850e-002	-9.920818e+000
3.392517728720850e-002	-9.920224e+000
3.402283353720850e-002	-9.919627e+000
3.412048978720850e-002	-9.919027e+000
3.421814603720851e-002	-9.918425e+000
3.431580228720851e-002	-9.917819e+000
3.441345853720851e-002	-9.917210e+000
3.451111478720851e-002	-9.916597e+000
3.460877103720851e-002	-9.915981e+000
3.470642728720851e-002	-9.915361e+000
3.480408353720851e-002	-9.914738e+000
3.490173978720852e-002	-9.914110e+000
3.499939603720852e-002	-9.913479e+000
3.509705228720852e-002	-9.912844e+000
3.529236478720852e-002	-9.911560e+000
3.548767728720852e-002	-9.910258e+000
3.568298978720853e-002	-9.908937e+000
3.597595853720853e-002	-9.906918e+000
3.607361478720853e-002	-9.906233e+000
3.617127103720853e-002	-9.905542e+000
3.626892728720853e-002	-9.904953e+000
3.636658353720854e-002	-9.905201e+000
3.646423978720854e-002	-9.907895e+000
3.656189603720854e-002	-9.914088e+000
3.665955228720854e-002	-9.922714e+000
3.675720853720854e-002	-9.931254e+000
3.685486478720854e-002	-9.937500e+000
3.695252103720854e-002	-9.940636e+000
3.705017728720855e-002	-9.941408e+000
3.714783353720855e-002	-9.941336e+000
3.724548978720855e-002	-9.941593e+000
3.734314603720855e-002	-9.942575e+000
3.744080228720855e-002	-9.944034e+000
3.753845853720855e-002	-9.945335e+000
3.763611478720855e-002	-9.945936e+000
3.773377103720856e-002	-9.945822e+000
3.783142728720856e-002	-9.945364e+000
3.792908353720856e-002	-9.944841e+000
3.802673978720856e-002	-9.944317e+000
3.812439603720856e-002	-9.943792e+000
3.822205228720856e-002	-9.943267e+000
3.851502103720857e-002	-9.941686e+000
3.880798978720857e-002	-9.940096e+000
3.910095853720857e-002	-9.938498e+000
3.939392728720858e-002	-9.936890e+000
3.968689603720858e-002	-9.935270e+000
3.997986478720859e-002	-9.933640e+000
4.027283353720859e-002	-9.931995e+000
4.056580228720860e-002	-9.930337e+000
4.085877103720860e-002	-9.928663e+000
4.115173978720860e-002	-9.926971e+000
4.144470853720861e-002	-9.925262e+000
4.164002103720861e-002	-9.924111e+000
4.193298978720862e-002	-9.922367e+000
4.222595853720862e-002	-9.920599e+000
4.251892728720862e-002	-9.918806e+000
4.281189603720863e-002	-9.916984e+000
4.310486478720863e-002	-9.915131e+000
4.339783353720864e-002	-9.913244e+000
4.369080228720864e-002	-9.911321e+000
4.398377103720864e-002	-9.909356e+000
4.427673978720865e-002	-9.907346e+000
4.437439603720865e-002	-9.906665e+000
4.447205228720865e-002	-9.905978e+000
4.456970853720865e-002	-9.905327e+000
4.466736478720865e-002	-9.905172e+000
4.476502103720866e-002	-9.906878e+000
4.486267728720866e-002	-9.911859e+000
4.496033353720866e-002	-9.919819e+000
4.505798978720866e-002	-9.928597e+000
4.515564603720866e-002	-9.935754e+000
4.525330228720866e-002	-9.939928e+000
4.535095853720866e-002	-9.941328e+000
4.544861478720867e-002	-9.941355e+000
