# time	V(rect_+)	V(rect_-)
1.633975981705539e-002	2.601167e+000	-2.601167e+000
1.643741606705540e-002	1.788712e+000	-1.788712e+000
1.653507231705540e-002	9.836598e-001	-9.836598e-001
1.663272856705540e-002	1.922729e-001	-1.922729e-001
1.663404775471643e-002	1.820691e-001	-1.820691e-001
1.663668613003849e-002	1.626263e-001	-1.626263e-001
1.664196288068261e-002	1.252720e-001	-1.252720e-001
1.665251638197085e-002	7.111531e-002	-7.111531e-002
1.667362338454733e-002	2.481922e-002	-2.481922e-002
1.667662822897997e-002	3.150563e-002	-3.150563e-002
1.668263791784525e-002	6.738028e-002	-6.738028e-002
1.669465729557581e-002	1.509107e-001	-1.509107e-001
1.671869605103693e-002	3.348540e-001	-3.348540e-001
1.676677356195917e-002	7.220082e-001	-7.220082e-001
1.686292858380365e-002	1.514275e+000	-1.514275e+000
1.696058483380365e-002	2.325570e+000	-2.325570e+000
1.705824108380365e-002	3.138277e+000	-3.138277e+000
1.715589733380365e-002	3.948561e+000	-3.948561e+000
1.725355358380365e-002	4.754101e+000	-4.754101e+000
1.735120983380365e-002	5.553635e+000	-5.553635e+000
1.744886608380366e-002	6.345978e+000	-6.345978e+000
1.754652233380366e-002	7.129914e+000	-7.129914e+000
1.764417858380366e-002	7.904280e+000	-7.904280e+000
1.774183483380366e-002	8.667955e+000	-8.667955e+000
1.783949108380366e-002	9.419856e+000	-9.419856e+000
1.793714733380366e-002	1.015892e+001	-1.015892e+001
1.803480358380366e-002	1.088412e+001	-1.088412e+001
1.813245983380367e-002	1.159445e+001	-1.159445e+001
1.823011608380367e-002	1.228892e+001	-1.228892e+001
1.832777233380367e-002	1.296657e+001	-1.296657e+001
1.842542858380367e-002	1.362648e+001	-1.362648e+001
1.862074108380367e-002	1.488946e+001	-1.488946e+001
1.881605358380368e-002	1.607093e+001	-1.607093e+001
1.901136608380368e-002	1.716444e+001	-1.716444e+001
1.930433483380368e-002	1.862687e+001	-1.862687e+001
1.959730358380369e-002	1.986014e+001	-1.986014e+001
1.989027233380369e-002	2.084916e+001	-2.084916e+001
2.018324108380369e-002	2.158181e+001	-2.158181e+001
2.047620983380370e-002	2.204914e+001	-2.204914e+001
2.076917858380370e-002	2.224543e+001	-2.224543e+001
2.106214733380371e-002	2.216827e+001	-2.216827e+001
2.135511608380371e-002	2.181862e+001	-2.181862e+001
2.164808483380372e-002	2.120075e+001	-2.120075e+001
2.194105358380372e-002	2.032221e+001	-2.032221e+001
2.223402233380372e-002	1.919376e+001	-1.919376e+001
2.252699108380373e-002	1.782921e+001	-1.782921e+001
2.281995983380373e-002	1.624529e+001	-1.624529e+001
2.311292858380374e-002	1.446142e+001	-1.446142e+001
2.340589733380374e-002	1.249956e+001	-1.249956e+001
2.369886608380374e-002	1.038390e+001	-1.038390e+001
2.399183483380375e-002	8.140779e+000	-8.140779e+000
2.428480358380375e-002	5.798607e+000	-5.798607e+000
2.457777233380376e-002	3.388792e+000	-3.388792e+000
2.477308483380376e-002	1.764615e+000	-1.764615e+000
2.487074108380376e-002	9.602442e-001	-9.602442e-001
2.496839733380376e-002	1.753056e-001	-1.753056e-001
2.498060436505376e-002	1.004344e-001	-1.004344e-001
2.500501842755376e-002	2.969609e-002	-2.969609e-002
2.501112194317876e-002	4.321600e-002	-4.321600e-002
2.502332897442876e-002	1.228548e-001	-1.228548e-001
2.504774303692876e-002	3.064993e-001	-3.064993e-001
2.509657116192876e-002	6.983571e-001	-6.983571e-001
2.529188366192876e-002	2.313151e+000	-2.313151e+000
2.558485241192877e-002	4.742118e+000	-4.742118e+000
2.587782116192877e-002	7.118423e+000	-7.118423e+000
2.617078991192878e-002	9.409071e+000	-9.409071e+000
2.646375866192878e-002	1.158456e+001	-1.158456e+001
2.675672741192878e-002	1.361767e+001	-1.361767e+001
2.704969616192879e-002	1.548324e+001	-1.548324e+001
2.734266491192879e-002	1.715829e+001	-1.715829e+001
2.763563366192880e-002	1.862224e+001	-1.862224e+001
2.792860241192880e-002	1.985716e+001	-1.985716e+001
2.822157116192881e-002	2.084792e+001	-2.084792e+001
2.851453991192881e-002	2.158239e+001	-2.158239e+001
2.880750866192881e-002	2.205158e+001	-2.205158e+001
2.910047741192882e-002	2.224977e+001	-2.224977e+001
2.939344616192882e-002	2.217451e+001	-2.217451e+001
2.968641491192883e-002	2.182674e+001	-2.182674e+001
2.997938366192883e-002	2.121071e+001	-2.121071e+001
3.027235241192883e-002	2.033395e+001	-2.033395e+001
3.056532116192884e-002	1.920719e+001	-1.920719e+001
3.085828991192884e-002	1.784422e+001	-1.784422e+001
3.105360241192885e-002	1.681249e+001	-1.681249e+001
3.124891491192885e-002	1.568877e+001	-1.568877e+001
3.144422741192885e-002	1.447921e+001	-1.447921e+001
3.163953991192885e-002	1.319041e+001	-1.319041e+001
3.173719616192886e-002	1.251849e+001	-1.251849e+001
3.183485241192886e-002	1.182945e+001	-1.182945e+001
3.193250866192886e-002	1.112424e+001	-1.112424e+001
3.203016491192886e-002	1.040382e+001	-1.040382e+001
3.212782116192886e-002	9.669199e+000	-9.669199e+000
3.222547741192886e-002	8.921404e+000	-8.921404e+000
3.232313366192886e-002	8.161482e+000	-8.161482e+000
3.242078991192886e-002	7.390511e+000	-7.390511e+000
3.251844616192887e-002	6.609597e+000	-6.609597e+000
3.261610241192887e-002	5.819887e+000	-5.819887e+000
3.271375866192887e-002	5.022578e+000	-5.022578e+000
3.281141491192887e-002	4.218946e+000	-4.218946e+000
3.290907116192887e-002	3.410405e+000	-3.410405e+000
3.300672741192887e-002	2.598662e+000	-2.598662e+000
3.310438366192887e-002	1.786210e+000	-1.786210e+000
3.320203991192888e-002	9.812238e-001	-9.812238e-001
3.329969616192888e-002	1.904117e-001	-1.904117e-001
3.330242554253592e-002	1.694438e-001	-1.694438e-001
3.330788430374999e-002	1.305788e-001	-1.305788e-001
3.331880182617814e-002	7.428485e-002	-7.428485e-002
3.334063687103443e-002	3.282094e-002	-3.282094e-002
3.334609563224850e-002	4.831045e-002	-4.831045e-002
3.335701315467664e-002	1.205308e-001	-1.205308e-001
3.337884819953293e-002	2.837411e-001	-2.837411e-001
3.341300121543531e-002	5.553058e-001	-5.553058e-001
3.348130724724008e-002	1.115050e+000	-1.115050e+000
3.357896349724008e-002	1.924787e+000	-1.924787e+000
3.367661974724008e-002	2.737187e+000	-2.737187e+000
3.377427599724008e-002	3.548547e+000	-3.548547e+000
3.387193224724008e-002	4.356454e+000	-4.356454e+000
3.396958849724008e-002	5.159107e+000	-5.159107e+000
3.406724474724009e-002	5.955167e+000	-5.955167e+000
3.416490099724009e-002	6.743408e+000	-6.743408e+000
3.426255724724009e-002	7.522648e+000	-7.522648e+000
3.436021349724009e-002	8.291748e+000	-8.291748e+000
3.445786974724009e-002	9.049605e+000	-9.049605e+000
3.455552599724009e-002	9.795149e+000	-9.795149e+000
3.465318224724009e-002	1.052733e+001	-1.052733e+001
3.475083849724010e-002	1.124514e+001	-1.124514e+001
3.484849474724010e-002	1.194757e+001	-1.194757e+001
3.494615099724010e-002	1.263365e+001	-1.263365e+001
3.504380724724010e-002	1.330245e+001	-1.330245e+001
3.523911974724010e-002	1.458453e+001	-1.458453e+001
3.543443224724011e-002	1.578677e+001	-1.578677e+001
3.562974474724011e-002	1.690261e+001	-1.690261e+001
3.592271349724011e-002	1.840116e+001	-1.840116e+001
3.621568224724012e-002	1.967332e+001	-1.967332e+001
3.650865099724012e-002	2.070351e+001	-2.070351e+001
3.680161974724013e-002	2.147912e+001	-2.147912e+001
3.709458849724013e-002	2.199066e+001	-2.199066e+001
3.738755724724013e-002	2.223187e+001	-2.223187e+001
3.768052599724014e-002	2.219982e+001	-2.219982e+001
3.797349474724014e-002	2.189487e+001	-2.189487e+001
3.826646349724015e-002	2.132077e+001	-2.132077e+001
3.855943224724015e-002	2.048454e+001	-2.048454e+001
3.885240099724015e-002	1.939641e+001	-1.939641e+001
3.914536974724016e-002	1.806970e+001	-1.806970e+001
3.943833849724016e-002	1.652067e+001	-1.652067e+001
3.973130724724017e-002	1.476832e+001	-1.476832e+001
4.002427599724017e-002	1.283418e+001	-1.283418e+001
4.031724474724018e-002	1.074211e+001	-1.074211e+001
4.061021349724018e-002	8.518105e+000	-8.518105e+000
4.090318224724018e-002	6.190201e+000	-6.190201e+000
4.119615099724019e-002	3.789143e+000	-3.789143e+000
4.148911974724019e-002	1.355707e+000	-1.355707e+000
4.158677599724019e-002	5.509243e-001	-5.509243e-001
4.159898302849020e-002	4.522943e-001	-4.522943e-001
4.162339709099019e-002	2.821143e-001	-2.821143e-001
4.167222521599019e-002	6.450742e-002	-6.450742e-002
4.168443224724019e-002	8.769235e-002	-8.769235e-002
4.170884630974019e-002	2.645813e-001	-2.645813e-001
4.175767443474019e-002	6.536053e-001	-6.536053e-001
4.185533068474019e-002	1.456654e+000	-1.456654e+000
4.214829943474020e-002	3.890369e+000	-3.890369e+000
4.244126818474020e-002	6.289362e+000	-6.289362e+000
4.273423693474020e-002	8.613698e+000	-8.613698e+000
4.302720568474021e-002	1.083297e+001	-1.083297e+001
4.332017443474021e-002	1.291923e+001	-1.291923e+001
4.361314318474022e-002	1.484656e+001	-1.484656e+001
4.390611193474022e-002	1.659121e+001	-1.659121e+001
4.419908068474023e-002	1.813172e+001	-1.813172e+001
4.449204943474023e-002	1.944921e+001	-1.944921e+001
4.478501818474023e-002	2.052753e+001	-2.052753e+001
4.507798693474024e-002	2.135349e+001	-2.135349e+001
4.537095568474024e-002	2.191697e+001	-2.191697e+001
4.566392443474025e-002	2.221109e+001	-2.221109e+001
4.595689318474025e-002	2.223224e+001	-2.223224e+001
4.624986193474025e-002	2.198016e+001	-2.198016e+001
4.654283068474026e-002	2.145795e+001	-2.145795e+001
4.683579943474026e-002	2.067199e+001	-2.067199e+001
4.712876818474027e-002	1.963189e+001	-1.963189e+001
4.742173693474027e-002	1.835039e+001	-1.835039e+001
4.771470568474028e-002	1.684318e+001	-1.684318e+001
4.791001818474028e-002	1.572200e+001	-1.572200e+001
4.810533068474028e-002	1.451479e+001	-1.451479e+001
4.830064318474028e-002	1.322816e+001	-1.322816e+001
4.839829943474028e-002	1.255724e+001	-1.255724e+001
4.849595568474029e-002	1.186915e+001	-1.186915e+001
4.859361193474029e-002	1.116483e+001	-1.116483e+001
4.869126818474029e-002	1.044525e+001	-1.044525e+001
4.878892443474029e-002	9.711412e+000	-9.711412e+000
4.888658068474029e-002	8.964340e+000	-8.964340e+000
4.898423693474029e-002	8.205080e+000	-8.205080e+000
4.908189318474029e-002	7.434708e+000	-7.434708e+000
4.917954943474030e-002	6.654330e+000	-6.654330e+000
4.927720568474030e-002	5.865090e+000	-5.865090e+000
4.937486193474030e-002	5.068181e+000	-5.068181e+000
4.947251818474030e-002	4.264873e+000	-4.264873e+000
4.957017443474030e-002	3.456569e+000	-3.456569e+000
4.966783068474030e-002	2.644953e+000	-2.644953e+000
4.976548693474030e-002	1.832444e+000	-1.832444e+000
4.986314318474031e-002	1.026341e+000	-1.026341e+000
4.996079943474031e-002	2.327578e-001	-2.327578e-001
4.996490906286005e-002	2.008419e-001	-2.008419e-001
4.997312831909954e-002	1.421894e-001	-1.421894e-001
4.998956683157853e-002	3.589219e-002	-3.589219e-002
4.999367645969827e-002	1.804277e-002	-1.804277e-002
5.000189571593777e-002	1.866600e-002	-1.866600e-002
5.001833422841675e-002	9.487712e-002	-9.487712e-002
5.005121125337472e-002	3.321886e-001	-3.321886e-001
5.011696530329066e-002	8.606056e-001	-8.606056e-001
5.021462155329066e-002	1.666608e+000	-1.666608e+000
5.031227780329066e-002	2.478677e+000	-2.478677e+000
5.040993405329066e-002	3.291021e+000	-3.291021e+000
5.050759030329066e-002	4.100425e+000	-4.100425e+000
5.060524655329066e-002	4.904907e+000	-4.904907e+000
5.070290280329066e-002	5.703187e+000	-5.703187e+000
5.080055905329067e-002	6.494041e+000	-6.494041e+000
5.089821530329067e-002	7.276265e+000	-7.276265e+000
5.099587155329067e-002	8.048705e+000	-8.048705e+000
5.109352780329067e-002	8.810249e+000	-8.810249e+000
5.119118405329067e-002	9.559817e+000	-9.559817e+000
5.128884030329067e-002	1.029635e+001	-1.029635e+001
5.138649655329067e-002	1.101883e+001	-1.101883e+001
