time	V(rect_+)	V(rect_-)
4.686921668169330e-003	2.166908e+001	-2.165504e+001
4.784577918169330e-003	2.164039e+001	-2.162238e+001
4.979890418169329e-003	2.158323e+001	-2.155732e+001
5.272859168169328e-003	2.149800e+001	-2.146041e+001
5.565827918169327e-003	2.141337e+001	-2.136429e+001
5.858796668169326e-003	2.132935e+001	-2.126896e+001
6.151765418169325e-003	2.124593e+001	-2.117440e+001
6.444734168169324e-003	2.116311e+001	-2.108063e+001
6.737702918169323e-003	2.108087e+001	-2.098762e+001
7.030671668169322e-003	2.099922e+001	-2.089537e+001
7.323640418169321e-003	2.091814e+001	-2.080388e+001
7.616609168169320e-003	2.083765e+001	-2.071314e+001
7.909577918169319e-003	2.075772e+001	-2.062314e+001
8.202546668169318e-003	2.067836e+001	-2.053387e+001
8.495515418169317e-003	2.059956e+001	-2.044533e+001
8.788484168169316e-003	2.052132e+001	-2.035752e+001
9.081452918169315e-003	2.044362e+001	-2.027042e+001
9.374421668169314e-003	2.036647e+001	-2.018403e+001
9.667390418169313e-003	2.028986e+001	-2.009835e+001
9.960359168169312e-003	2.021378e+001	-2.001336e+001
1.025332791816931e-002	2.013822e+001	-1.992906e+001
1.054629666816931e-002	2.006318e+001	-1.984545e+001
1.083926541816931e-002	1.998866e+001	-1.976252e+001
1.113223416816931e-002	1.991463e+001	-1.968026e+001
1.122989041816931e-002	1.989006e+001	-1.965427e+001
1.132754666816931e-002	1.986597e+001	-1.964455e+001
1.142520291816931e-002	1.985913e+001	-1.970165e+001
1.152285916816931e-002	1.993267e+001	-1.989157e+001
1.162051541816931e-002	2.017133e+001	-2.022399e+001
1.171817166816931e-002	2.058255e+001	-2.063149e+001
1.181582791816931e-002	2.104388e+001	-2.102556e+001
1.191348416816931e-002	2.138749e+001	-2.133559e+001
1.201114041816931e-002	2.154116e+001	-2.151602e+001
1.210879666816930e-002	2.156710e+001	-2.157169e+001
1.220645291816930e-002	2.156523e+001	-2.156915e+001
1.230410916816930e-002	2.158655e+001	-2.158327e+001
1.240176541816930e-002	2.163983e+001	-2.163885e+001
1.249942166816930e-002	2.171158e+001	-2.171315e+001
1.259707791816930e-002	2.176890e+001	-2.176842e+001
1.269473416816930e-002	2.178607e+001	-2.178189e+001
1.279239041816930e-002	2.176991e+001	-2.176199e+001
1.289004666816930e-002	2.174213e+001	-2.173033e+001
1.298770291816930e-002	2.171329e+001	-2.169748e+001
1.308535916816930e-002	2.168450e+001	-2.166471e+001
1.328067166816930e-002	2.162712e+001	-2.159942e+001
1.357364041816930e-002	2.154158e+001	-2.150216e+001
1.386660916816930e-002	2.145664e+001	-2.140569e+001
1.415957791816930e-002	2.137231e+001	-2.131002e+001
1.445254666816930e-002	2.128859e+001	-2.121514e+001
1.464785916816930e-002	2.123310e+001	-2.115231e+001
1.484317166816930e-002	2.117788e+001	-2.108983e+001
1.494082791816929e-002	2.115037e+001	-2.105871e+001
1.503848416816929e-002	2.112292e+001	-2.102769e+001
1.513614041816929e-002	2.109554e+001	-2.099674e+001
1.523379666816929e-002	2.106822e+001	-2.096589e+001
1.533145291816929e-002	2.104097e+001	-2.093511e+001
1.542910916816929e-002	2.101378e+001	-2.090442e+001
1.552676541816929e-002	2.098666e+001	-2.087382e+001
1.562442166816929e-002	2.095960e+001	-2.084329e+001
1.572207791816929e-002	2.093261e+001	-2.081285e+001
1.581973416816929e-002	2.090568e+001	-2.078250e+001
1.591739041816929e-002	2.087881e+001	-2.075223e+001
1.601504666816930e-002	2.085201e+001	-2.072204e+001
1.611270291816930e-002	2.082527e+001	-2.069193e+001
1.621035916816930e-002	2.079859e+001	-2.066191e+001
1.630801541816930e-002	2.077198e+001	-2.063196e+001
1.640567166816930e-002	2.074543e+001	-2.060210e+001
1.650332791816930e-002	2.071894e+001	-2.057232e+001
1.660098416816930e-002	2.069252e+001	-2.054263e+001
1.669864041816931e-002	2.066616e+001	-2.051301e+001
1.679629666816931e-002	2.063986e+001	-2.048347e+001
1.689395291816931e-002	2.061362e+001	-2.045402e+001
1.699160916816931e-002	2.058744e+001	-2.042464e+001
1.708926541816931e-002	2.056133e+001	-2.039535e+001
1.718692166816931e-002	2.053527e+001	-2.036613e+001
1.728457791816931e-002	2.050928e+001	-2.033699e+001
1.738223416816932e-002	2.048335e+001	-2.030794e+001
1.747989041816932e-002	2.045748e+001	-2.027896e+001
1.757754666816932e-002	2.043167e+001	-2.025006e+001
1.767520291816932e-002	2.040592e+001	-2.022124e+001
1.777285916816932e-002	2.038023e+001	-2.019250e+001
1.787051541816932e-002	2.035460e+001	-2.016384e+001
1.796817166816932e-002	2.032903e+001	-2.013526e+001
1.806582791816933e-002	2.030352e+001	-2.010675e+001
1.816348416816933e-002	2.027807e+001	-2.007832e+001
1.826114041816933e-002	2.025268e+001	-2.004997e+001
1.835879666816933e-002	2.022735e+001	-2.002170e+001
1.855410916816933e-002	2.017686e+001	-1.996538e+001
1.874942166816934e-002	2.012660e+001	-1.990936e+001
1.894473416816934e-002	2.007657e+001	-1.985365e+001
1.923770291816934e-002	2.000195e+001	-1.977066e+001
1.943301541816934e-002	1.995249e+001	-1.971570e+001
1.953067166816935e-002	1.992784e+001	-1.968834e+001
1.962832791816935e-002	1.990325e+001	-1.966620e+001
1.972598416816935e-002	1.988734e+001	-1.968365e+001
1.982364041816935e-002	1.992057e+001	-1.981273e+001
1.992129666816935e-002	2.007955e+001	-2.009653e+001
2.001895291816935e-002	2.041579e+001	-2.048707e+001
2.011660916816935e-002	2.086829e+001	-2.088876e+001
2.021426541816936e-002	2.127447e+001	-2.122673e+001
2.031192166816936e-002	2.150570e+001	-2.145411e+001
2.040957791816936e-002	2.157088e+001	-2.155442e+001
2.050723416816936e-002	2.156578e+001	-2.157002e+001
2.060489041816936e-002	2.156900e+001	-2.157710e+001
2.070254666816936e-002	2.161110e+001	-2.161667e+001
2.080020291816936e-002	2.168376e+001	-2.168184e+001
2.089785916816937e-002	2.175111e+001	-2.174441e+001
2.099551541816937e-002	2.178104e+001	-2.177504e+001
2.109317166816937e-002	2.177295e+001	-2.176715e+001
2.119082791816937e-002	2.174723e+001	-2.173856e+001
2.128848416816937e-002	2.171837e+001	-2.170568e+001
2.138614041816937e-002	2.168958e+001	-2.167288e+001
2.148379666816937e-002	2.166084e+001	-2.164017e+001
2.177676541816938e-002	2.157505e+001	-2.154258e+001
2.206973416816938e-002	2.148988e+001	-2.144578e+001
2.236270291816939e-002	2.140531e+001	-2.134978e+001
2.265567166816939e-002	2.132135e+001	-2.125457e+001
2.294864041816939e-002	2.123799e+001	-2.116014e+001
2.324160916816940e-002	2.115522e+001	-2.106647e+001
2.353457791816940e-002	2.107304e+001	-2.097358e+001
2.382754666816941e-002	2.099144e+001	-2.088145e+001
2.412051541816941e-002	2.091042e+001	-2.079007e+001
2.441348416816942e-002	2.082998e+001	-2.069944e+001
2.470645291816942e-002	2.075011e+001	-2.060955e+001
2.499942166816942e-002	2.067080e+001	-2.052040e+001
2.529239041816943e-002	2.059206e+001	-2.043197e+001
2.558535916816943e-002	2.051386e+001	-2.034426e+001
2.587832791816944e-002	2.043622e+001	-2.025727e+001
2.617129666816944e-002	2.035912e+001	-2.017099e+001
2.646426541816944e-002	2.028256e+001	-2.008541e+001
2.675723416816945e-002	2.020653e+001	-2.000053e+001
2.705020291816945e-002	2.013102e+001	-1.991634e+001
2.734317166816946e-002	2.005604e+001	-1.983283e+001
2.763614041816946e-002	1.998156e+001	-1.975000e+001
2.773379666816946e-002	1.995684e+001	-1.972254e+001
2.783145291816946e-002	1.993218e+001	-1.969516e+001
2.792910916816947e-002	1.990758e+001	-1.967018e+001
2.802676541816947e-002	1.988636e+001	-1.967112e+001
2.812442166816947e-002	1.989427e+001	-1.976081e+001
2.822207791816947e-002	2.000225e+001	-1.999567e+001
2.831973416816947e-002	2.028605e+001	-2.035529e+001
2.841739041816947e-002	2.072300e+001	-2.075828e+001
2.851504666816947e-002	2.116482e+001	-2.112637e+001
2.861270291816948e-002	2.145539e+001	-2.140119e+001
2.871035916816948e-002	2.156156e+001	-2.154717e+001
2.880801541816948e-002	2.156818e+001	-2.158411e+001
2.890567166816948e-002	2.157004e+001	-2.158309e+001
2.900332791816948e-002	2.160519e+001	-2.160452e+001
2.910098416816948e-002	2.166805e+001	-2.166162e+001
2.919864041816948e-002	2.173409e+001	-2.173049e+001
2.929629666816948e-002	2.177430e+001	-2.177449e+001
2.939395291816949e-002	2.177654e+001	-2.177647e+001
2.949160916816949e-002	2.175421e+001	-2.175082e+001
2.958926541816949e-002	2.172548e+001	-2.171805e+001
2.968692166816949e-002	2.169666e+001	-2.168521e+001
2.978457791816949e-002	2.166791e+001	-2.165247e+001
3.007754666816950e-002	2.158208e+001	-2.155478e+001
3.037051541816950e-002	2.149685e+001	-2.145788e+001
3.066348416816950e-002	2.141224e+001	-2.136178e+001
3.095645291816951e-002	2.132822e+001	-2.126647e+001
3.115176541816951e-002	2.127255e+001	-2.120336e+001
3.134707791816951e-002	2.121714e+001	-2.114060e+001
3.154239041816952e-002	2.116199e+001	-2.107818e+001
3.164004666816952e-002	2.113452e+001	-2.104710e+001
3.173770291816952e-002	2.110711e+001	-2.101611e+001
3.183535916816952e-002	2.107976e+001	-2.098520e+001
3.193301541816952e-002	2.105248e+001	-2.095437e+001
3.203067166816952e-002	2.102527e+001	-2.092363e+001
3.212832791816953e-002	2.099812e+001	-2.089297e+001
3.222598416816953e-002	2.097103e+001	-2.086239e+001
3.232364041816953e-002	2.094401e+001	-2.083190e+001
3.242129666816953e-002	2.091706e+001	-2.080150e+001
3.251895291816953e-002	2.089016e+001	-2.077117e+001
3.261660916816953e-002	2.086333e+001	-2.074093e+001
3.271426541816953e-002	2.083657e+001	-2.071077e+001
3.281192166816953e-002	2.080986e+001	-2.068069e+001
3.290957791816954e-002	2.078323e+001	-2.065070e+001
3.300723416816954e-002	2.075665e+001	-2.062079e+001
